"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","DSC_TIPO_PENAL","ANO","MES","NUM_AUDIENCIAS"
N,PR,,2017,4,1130
N,PI,,271,2,1
N,PR,,2011,9,4
N,RO,,2017,3,339
N,PR,,1980,10,1
N,SC,,2017,3,227
S,PI,,2017,3,35
N,PR,,2013,2,4
N,PB,,2012,8,2
N,PR,,2012,10,2
N,,,2001,8,1
N,SP,,2014,3,1
N,SP,,1984,12,2
N,,,2001,3,2
N,,,1980,3,1
N,,,1994,1,2
S,PR,,2017,4,49
N,RR,,2017,4,3
S,SC,,2017,9,13
N,DF,,2014,10,1
S,,,2017,5,104
N,PB,,2014,10,2
N,SP,,1980,2,1
N,PA,,2015,12,2
N,PR,,1981,9,1
N,RO,,1998,4,3
N,AC,ROUBO,2017,5,1
N,MA,,2019,2,175
N,RO,,1998,1,1
S,PI,,2014,5,1
N,RO,,2003,2,1
N,AL,,2017,6,54
N,SP,,2014,6,3
N,CE,,2016,5,7
N,,,1994,7,5
N,,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2017,5,9
N,,,1998,4,4
N,CE,,2017,4,7
S,MT,,2017,6,26
N,SP,,1998,7,3
N,,,1999,2,3
N,CE,,2017,3,12
N,CE,,2016,12,3
N,,,2015,4,4
N,RS,,2017,7,140
N,PE,,2017,7,157
N,,,1987,3,4
N,PR,,1989,2,1
N,PE,,2017,8,180
N,,,1999,5,1
N,PR,,1961,7,1
N,CE,,2000,8,1
N,MG,,2017,8,69
N,PR,,1990,5,1
S,AL,,2017,8,5
S,AP,,2017,8,2
S,,,2017,9,122
S,PA,,2017,9,77
N,SP,,2018,2,4340
N,MT,,2006,8,1
N,MT,,2010,9,1
N,PA,,1977,3,1
N,,,2004,6,2
N,SE,,2018,2,158
N,SP,,1988,1,1
N,RO,,2015,11,2
S,GO,,2018,5,58
S,,,2017,10,137
S,PE,,2017,9,4
N,GO,,2017,10,566
N,SC,,2017,10,205
N,RO,,2017,10,190
N,,,2019,8,4636
N,MA,,2017,10,167
S,BA,,2017,10,58
N,SP,,1977,9,1
N,PR,,1983,11,1
N,PR,,2003,2,1
N,MT,,2014,5,1
N,,,1997,2,3
S,SC,,2017,10,9
N,PI,,2019,5,444
N,AL,,2017,10,30
N,MT,,2011,6,1
N,CE,,2016,9,4
S,TO,,2017,10,1
S,MT,,2017,10,29
N,PB,,2014,6,1
N,PB,,2008,1,1
N,SP,,2015,1,1
N,,,1988,1,3
N,BA,,2017,11,399
N,MA,,2017,11,158
N,MT,,2015,5,1
S,GO,,2017,11,72
N,SP,,2011,11,4
S,MT,,2017,11,8
S,AC,,2017,11,8
N,,,2013,11,5
N,,,2017,12,7657
S,PE,,2017,11,6
N,SE,,2015,11,1
N,PR,,1952,6,1
N,AC,,1999,4,1
N,,,2018,10,3582
N,CE,,2015,7,1
N,MT,,2013,1,2
N,AC,,1992,9,2
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,11,1622
N,AC,RECEPTACAO,2017,11,1
N,,FURTO QUALIFICADO,2023,3,178
S,BA,,2017,12,35
S,PR,,2017,12,28
S,,,2017,12,256
N,PE,,2017,12,204
N,AP,,2017,12,27
N,CE,,2017,12,526
S,CE,,2017,12,45
N,,FURTO SIMPLES,2019,11,273
N,,,1994,4,3
N,GO,,2003,3,2
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2020,1,1425
N,,,1979,4,1
N,,,1986,7,1
N,SP,,1997,2,2
N,TO,,2018,1,24
S,PA,,2018,1,70
N,PE,,2018,1,189
N,MT,,2018,1,201
S,PI,,2018,1,24
S,BA,,2018,1,69
N,RO,,1978,4,1
N,,,1994,8,3
N,,,1972,10,1
N,SP,,1986,5,1
N,SP,,2008,1,1
N,,,2013,5,5
N,PB,,1997,12,1
N,SP,,1989,5,2
N,PB,,2009,2,1
N,SP,AMEACA,2018,1,1
N,RS,,2018,2,125
S,GO,,2018,2,67
S,PI,,2018,2,17
N,,,1973,7,3
N,RO,,1989,10,1
N,SP,,2018,4,4450
S,PE,,2018,2,3
N,SP,,2015,2,1
N,SP,,1986,6,1
N,MA,,2018,3,111
N,BA,,2018,3,247
N,SC,,2018,3,142
N,MT,,2014,8,2
S,RO,,2018,3,5
N,,,1968,8,1
N,SP,,1985,3,1
N,PR,,1978,11,1
N,RS,,2018,4,144
N,PI,,2018,4,111
S,PE,,2018,4,11
S,MG,,2018,4,8
N,CE,,2006,11,2
S,AC,,2018,4,20
S,CE,,2016,12,1
N,SP,,1991,3,2
N,SP,,2016,4,1
N,MT,,2015,9,1
N,,,1977,10,2
N,,,1994,3,3
N,RS,,2018,5,180
S,,,2018,5,164
N,PI,,2018,5,131
S,PE,,2018,5,16
N,PB,,2006,11,2
S,PI,,2018,5,8
N,RO,,2004,11,1
S,AL,,2018,5,5
S,PB,,2018,5,3
N,PR,,1987,5,1
S,PA,,2018,6,70
N,,,1981,2,1
N,AC,,2018,6,81
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2021,3,2
N,PA,,1993,4,1
N,SE,,2018,7,156
N,MG,,2018,7,261
N,PE,,2018,7,344
S,PA,,2018,7,73
N,AL,,2018,7,27
S,RS,,2018,7,15
N,AP,,2018,7,23
N,PB,,1985,10,1
N,PB,,2007,11,1
N,,,1993,7,1
N,PE,,1997,9,1
N,GO,,2013,5,2
N,SP,,1996,10,2
N,PI,,2018,8,227
S,GO,,2018,8,25
S,,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,401
N,CE,,2019,9,269
S,PR,,2018,8,35
S,MT,,2018,8,13
N,SP,,1988,5,1
N,MG,,2018,9,387
N,BA,,2018,9,291
S,PA,,2018,9,48
N,SC,,2018,11,476
N,,,1975,12,1
N,GO,,2003,12,1
N,GO,,2018,11,533
S,RS,,2018,9,19
S,MT,,2018,9,16
N,SP,,1981,12,3
N,,,1990,1,2
N,,RECEPTACAO,2018,9,3
N,PI,,2010,2,1
N,PA,,2014,10,1
N,GO,,2000,9,1
N,SE,,2012,9,1
N,RS,,2019,1,930
N,MA,,2018,10,232
N,CE,,2004,10,1
N,AP,,2018,10,106
N,GO,,1994,10,1
N,SP,,2008,10,1
S,PB,,2018,10,7
S,AL,,2018,10,3
N,AC,"COLABORAR, COMO INFORMANTE DOS CRIMES PREVISTOS NOS ARTS. 33, CAPUT E  1°, E 34 DESTA LEI",2018,10,1
N,PE,,2018,11,172
S,SC,,2018,11,25
N,DF,,2018,11,38
S,MG,,2018,11,24
N,,FURTO QUALIFICADO,2018,10,4
N,SC,,1999,10,1
N,PR,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2018,11,3
N,PI,DESCUMPRIMENTO DE MEDIDAS PROTETIVAS DE URGÊNCIA,2018,11,1
N,MT,,2013,6,2
N,,,2018,12,3218
N,SC,ESTUPRO DE VULNERAVEL,2018,11,2
N,PR,,2005,10,1
N,PA,,2018,12,518
N,DF,,1999,4,1
N,MT,,2018,12,146
N,AP,,2018,12,92
N,DF,,2018,12,31
N,PR,,1994,12,1
N,RS,,2013,9,2
S,RS,ROUBO,2018,12,1
N,,,1961,7,1
N,,RECEPTACAO,,,4392
N,AP,,1991,12,1
N,MG,,1987,2,1
N,RS,,2015,3,3
N,CE,,2009,4,1
S,SE,,2018,12,3
N,PA,,1996,8,1
N,PE,,2019,1,132
N,SP,,1977,5,1
N,,,1986,6,2
N,,ROUBO AGRAVADO,2019,12,268
S,BA,,2019,1,53
N,PB,,2002,12,2
N,,DROGAS PARA O CONSUMO PESSOAL,2020,3,78
N,SP,COACAO NO CURSO DO PROCESSO,2019,1,1
N,DF,,2013,5,1
S,PR,,2019,2,44
S,MA,,2019,2,13
N,RS,,2001,5,1
N,PR,,1996,10,1
N,,,1985,3,1
N,MT,,1994,2,1
N,CE,,2003,7,1
N,RS,,2019,7,1124
N,PA,,2005,10,1
N,,FURTO QUALIFICADO,2022,5,1537
N,MG,,1978,12,1
N,CE,,1989,10,2
N,,,2000,12,1
N,,,1991,3,2
N,RS,,2019,8,1159
S,MT,,2019,3,25
N,,,1999,9,2
S,PE,,2019,3,3
N,MA,,2013,3,1
N,,,1998,9,1
N,PA,,2012,12,1
N,,ROUBO,2020,1,536
N,CE,,1996,9,2
N,PA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,3,1
N,PB,,2019,4,285
N,SP,,1982,2,1
N,MT,"CP, ART 329: RESISTÊNCIA",2019,10,8
N,PI,,2013,10,1
N,TO,ROUBO,2019,3,3
N,SE,ROUBO,2019,4,1
N,SP,,1987,5,1
N,AC,CODIGO PENAL INJURIA REAL,2019,4,1
N,GO,,2019,8,388
N,CE,,1991,4,1
N,CE,,1995,4,1
N,CE,,1977,10,1
N,GO,,2009,9,1
N,AL,,2019,5,178
N,CE,,2011,7,1
N,PI,,2010,1,1
N,RS,,1974,10,1
N,RJ,,2019,5,1
N,MG,,1989,11,2
N,CE,,1997,2,1
S,MG,,2019,6,83
N,GO,,2006,3,1
S,AC,,2019,5,2
N,CE,,1992,6,1
S,SC,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,5,1
S,MT,,2019,6,13
S,GO,,2019,6,23
N,MG,,1963,11,1
N,SP,,1975,10,1
S,AC,,2019,6,1
N,AL,,1995,11,1
N,SP,,1992,11,1
N,,,1967,8,1
N,PI,,2019,7,361
N,CE,,2019,7,706
N,RS,,1984,5,1
N,SE,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,6,1
N,AC,,2019,7,108
N,DF,,2019,7,9
S,PR,,2019,7,23
N,CE,,1997,7,1
N,GO,,1990,7,1
N,RS,,2006,6,1
N,CE,,1996,7,1
N,,,1980,6,1
N,,ROUBO AGRAVADO,2019,7,49
N,SC,"CP, ART 329: RESISTÊNCIA",2019,9,1
N,SP,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,7,45
N,PA,,2019,8,612
N,MT,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,7,1
S,MG,,2019,8,99
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,8,136
S,GO,,2019,8,20
N,,RECEPTACAO,2022,5,646
N,,,2004,4,1
N,MG,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,8,1
N,SP,,1992,10,1
N,SP,,1968,10,1
N,PR,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,8,6
N,PR,AMEACA,2019,8,11
N,CE,ROUBO,2019,8,11
S,TO,,2019,8,3
S,PB,,2019,8,3
N,SP,DESCUMPRIMENTO DE MEDIDAS PROTETIVAS DE URGÊNCIA,2019,8,1
N,SE,,2019,9,38
N,DF,,2011,5,1
N,SP,,2001,4,1
N,SP,,2011,8,1
N,SP,POSSE/PORTE ILEGAL DE ARMA DE FOGO ACESSORIO OU MUNICAO - USO RESTRITO,2019,8,3
N,PE,AMEACA,2019,9,3
S,TO,,2019,5,1
N,CE,,1992,1,1
N,,FURTO QUALIFICADO,2022,1,874
S,BA,,2019,9,8
N,,SEQUESTRO E CARCERE PRIVADO,,,271
S,,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,73
S,,RECEPTACAO,2019,9,13
N,GO,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,4,18
N,,,2001,5,1
I,,"CONSTITUI CRIME CONTRA O PATRIMÔNIO, NA MODALIDADE DE USURPACAO, PRODUZIR BENS OU EXPLORAR MATÉRIA-PRIMA PERTENCENTES À UNIAO, SEM AUTORIZAÇAO LEGAL OU EM DESACORDO COM AS OBRIGAÇÕES IMPOSTAS PELO TÍT",,,1
S,CE,ROUBO AGRAVADO,2019,9,21
N,,AMEACA,2019,4,11
S,AM,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,11
N,PA,FURTO QUALIFICADO,2019,9,15
N,SP,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,136
N,,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,150
S,CE,FURTO SIMPLES,2019,9,1
N,RO,ROUBO,2019,9,4
N,,CONTRABANDO,2019,9,27
N,SP,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,9,20
S,,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,7,41
N,RS,FURTO QUALIFICADO,,,799
I,SP,FURTO QUALIFICADO,2019,9,22
S,CE,DESACATO,2019,9,8
N,SP,USO DE DOCUMENTO FALSO,2019,9,37
N,SP,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2018,9,1
N,SP,FURTO SIMPLES,2019,8,23
N,CE,CODIGO PENAL INJURIA REAL,2019,9,1
I,SP,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,16
I,GO,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",,,1
N,SP,INJURIA,2019,9,16
S,AM,ROUBO,2019,9,5
N,GO,DIRIGIR VEICULO SEM CNH,2019,9,2
N,PR,ROUBO AGRAVADO,2019,8,8
S,,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,5,2
N,SE,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,1
N,SP,HOMICIDIO QUALIFICADO,2019,9,16
N,MT,AMEACA,,,120
N,GO,ROUBO,2019,9,9
N,SP,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,,,809
N,AM,AMEACA,2019,9,11
S,PR,AMEACA,2019,9,6
N,SC,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",,,147
N,PR,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,9,10
N,BA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,68
I,,LESAO CORPORAL,,,1
N,PI,PORTE ILEGAL DE ARMA BRANCA,2019,9,1
N,MG,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,10,45
I,,"MAQUINARIO, APARELHO, PRODUCAO DE DROGAS",2019,9,4
S,BA,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,9
S,BA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,22
N,RS,ROUBO,2019,9,39
N,SP,FURTO QUALIFICADO,,,1514
N,CE,DANO QUALIFICADO,2019,9,7
I,,ESTUPRO OU ATENTADO VIOLENTO AO PUDOR,2019,9,1
I,PI,INJURIA,2019,9,2
N,PA,ROUBO AGRAVADO,2019,9,22
N,SC,RESISTENCIA,2019,9,4
N,GO,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,6,1
N,GO,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,6,3
N,BA,"OFERECER DROGA, EVENTUALMENTE E SEM OBJETIVO DE LUCRO, A PESSOA DE SEU RELACIONAMENTO, PARA JUNTOS A",2019,9,11
N,PA,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,36
S,SP,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",,,11
I,RS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,8,1
N,DF,CRIME MILITAR - CONCUSSAO,2019,9,1
I,SP,AMEACA,,,1
N,RS,FALSIFICACAO DE PRODUTO TERAPEUTICO / MEDICINAL - CULPOSA,2019,9,1
N,SC,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,9,21
N,AC,AMEACA,2019,9,6
N,RO,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,12
I,MG,FURTO QUALIFICADO,2019,9,3
N,PA,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,9,2
N,MA,RECEPTACAO,2019,9,3
N,MA,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,9,4
S,CE,FALSA IDENTIDADE,2019,9,2
N,RJ,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,,,663
N,DF,RECEPTACAO,,,243
I,RS,FURTO QUALIFICADO,,,1
N,PR,FURTO QUALIFICADO,2019,9,34
N,PA,AMEACA,2019,9,19
N,,CONSTRANGER ALGUEM COM VIOLENCIA OU AMEACA,2019,2,1
N,GO,ASSOCIAÇAO CRIMINOSA,,,35
N,,OMITIR INFORMACOES SOBRE PERICULOSIDADE DO PRODUTO,2019,8,1
N,SE,ROUBO AGRAVADO,2017,9,1
I,SP,RECEPTACAO,2019,9,3
N,MG,ESTELIONATO,,,26
S,SP,RESISTENCIA,2019,9,3
S,SP,DESACATO,2019,9,1
N,GO,AMEACA,2019,1,11
I,AC,AMEACA,2019,9,1
S,SP,ROUBO AGRAVADO,2019,9,2
N,,ROUBO,2015,7,3
N,PR,RECEPTACAO,2019,9,27
N,DF,FURTO QUALIFICADO,,,175
N,CE,USO DE DOCUMENTO FALSO,2019,9,3
N,RS,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2017,9,1
S,MG,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,8,8
N,AL,ROUBO,2019,9,5
I,PA,ROUBO,2019,9,2
S,PA,AMEACA,2019,9,1
N,SP,DESACATO,2019,9,12
N,PE,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,,,106
I,SE,INJURIA,2019,9,1
I,,CORRUPCAO DE MENORES,2019,9,1
I,RS,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,9,1
I,PI,ESTUPRO OU ATENTADO VIOLENTO AO PUDOR,2019,9,1
N,PI,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,,,40
N,PR,SATISFACAO DE LASCIVIA MEDIANTE PRESENCA DE CRIANCA OU ADOLESCENTE,,,1
N,MG,ASSOCIAÇAO CRIMINOSA,2019,9,6
N,PR,DESTRUICAO SUBTRACAO OU OCULTACAO DE CADAVER,2019,9,1
N,PB,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,9
N,SC,FURTO QUALIFICADO,2019,6,4
N,PR,USO DE DOCUMENTO FALSO,2019,9,2
I,SP,DESOBEDIENCIA,2019,9,4
I,SP,PRATICAR LESAO CORPORAL CULPOSA NA DIRECAO DE VEICULO AUTOMOTOR,2019,9,3
I,PI,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,2
N,,INCENDIO,2019,4,1
N,CE,INJURIA,2019,9,3
N,GO,RECEPTACAO,2019,9,19
S,,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,9,4
S,CE,DROGAS PARA O CONSUMO PESSOAL,2019,9,3
N,MG,FALSA IDENTIDADE,2019,9,3
N,AL,CODIGO PENAL INJURIA REAL,2019,9,1
N,SC,ROUBO,,,184
I,BA,FURTO SIMPLES,2019,9,1
N,MG,ROUBO,2019,8,1
I,,DESOBEDIENCIA,2019,9,1
S,SP,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,1
I,DF,FURTO QUALIFICADO,,,1
N,PA,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,,,81
N,AL,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,10
N,RS,"CP, ART 329: RESISTÊNCIA",2019,9,1
S,CE,FORNECER PRODUTOS  DE DEPENDENCIA FISICA/QUIMICA,2019,9,1
N,PR,ESTELIONATO,2019,6,2
I,SP,IMPORTUNAÇÃO SEXUAL,2019,9,1
N,MG,LESAO CORPORAL,,,57
N,CE,DROGAS PARA O CONSUMO PESSOAL,2019,9,6
S,CE,ROUBO,2019,9,6
N,SP,CRIME MILITAR - CORRUPCAO ATIVA,,,1
N,SP,CRIME MILITAR - CORRUPCAO ATIVA,2018,8,1
N,PA,HOMICIDIO QUALIFICADO,,,32
I,SP,DANO QUALIFICADO,2019,9,1
S,PB,RECEPTACAO QUALIFICADA,2019,9,1
N,GO,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,2019,9,2
N,SP,CRIME MILITAR - CORRUPCAO PASSIVA,2018,8,1
N,SE,RECEPTACAO,2019,9,1
N,SE,DROGAS PARA O CONSUMO PESSOAL,2019,9,1
N,AM,RECEPTACAO,2019,9,8
N,PR,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",,,69
N,PR,"OFERECER DROGA, EVENTUALMENTE E SEM OBJETIVO DE LUCRO, A PESSOA DE SEU RELACIONAMENTO, PARA JUNTOS A",,,39
N,PR,POSSE/PORTE ILEGAL DE ARMA DE FOGO ACESSORIO OU MUNICAO - USO RESTRITO,,,23
N,MT,HOMICIDIO SIMPLES,,,42
N,,HOMICIDIO QUALIFICADO,2019,8,11
N,RO,HOMICIDIO QUALIFICADO,,,29
N,RS,ESTUPRO DE VULNERAVEL,2018,3,1
N,PR,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2018,7,1
I,GO,ASSOCIAÇAO CRIMINOSA,2019,9,1
